Station,Capc,SubNetwork
stn01,7,1
stn02,6,1
stn03,3,1
stn04,3,1
stn05,3,1
stn06,3,1
stn07,3,1
stn08,3,1
stn09,3,1
stn10,5,1
stn11,3,1
stn12,3,1
stn13,3,1
stn14,3,1
stn15,3,1
stn16,3,1
stn17,3,1
stn18,3,1
stn19,4,1
stn20,3,1
stn21,3,1
stn22,6,1
stn23,3,1
stn24,3,1
stn25,3,1
stn26,3,1
stn27,3,1
stn28,3,1
stn29,3,1
stn30,3,1
stn31,3,1
stn32,3,1
stn33,3,1
stn34,3,1
stn35,3,1
stn36,3,1
stn37,3,1
stn38,3,1
stn39,4,1
stn40,3,1
stn41,3,1
stn42,3,1
stn43,5,1
stn44,7,1
stn45,3,1
stn46,3,1
stn47,3,1
stn48,3,1
stn49,3,1
stn50,3,1
stn51,4,1
stn52,7,1
