Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
stn01,2016-03-25 05:49:00,P,0,2016-03-25 05:49:00,P,0,0,0,0,0,10001,1,1|1
stn01,2016-03-27 05:16:00,P,0,2016-03-27 05:16:00,P,0,0,0,0,0,10002,1,1|1
stn01,2016-03-25 22:35:00,P,0,2016-03-25 22:35:00,P,0,0,0,0,0,10003,1,1|1
stn01,2016-03-27 22:48:00,P,0,2016-03-27 22:48:00,P,0,0,0,0,0,10004,1,1|1
stn01,2016-03-24 16:54:00,P,0,2016-03-24 17:04:00,P,0,10,10,10,10,10005,1,1|1
stn02,2016-03-24 17:14:00,P,0,2016-03-24 17:14:00,P,0,0,0,6,6,10005,1,1|1
stn03,2016-03-24 17:20:00,P,0,2016-03-24 17:20:00,P,0,0,0,4,4,10005,1,1|1
stn04,2016-03-24 17:24:00,P,0,2016-03-24 17:24:00,P,0,0,0,3,3,10005,1,1|1
stn05,2016-03-24 17:27:00,P,0,2016-03-24 17:27:00,P,0,0,0,3,3,10005,1,1|1
stn06,2016-03-24 17:30:00,P,0,2016-03-24 17:30:00,P,0,0,0,5,5,10005,1,1|1
stn07,2016-03-24 17:35:00,P,0,2016-03-24 17:35:00,P,0,0,0,4,4,10005,1,1|1
stn08,2016-03-24 17:39:00,P,0,2016-03-24 17:39:00,P,0,0,0,3,3,10005,1,1|1
stn09,2016-03-24 17:42:00,P,0,2016-03-24 17:42:00,P,0,0,0,5,5,10005,1,1|1
stn10,2016-03-24 17:47:00,P,0,2016-03-24 17:47:00,P,0,0,0,5,5,10005,1,1|1
stn11,2016-03-24 17:52:00,P,0,2016-03-24 17:52:00,P,0,0,0,5,5,10005,1,1|1
stn12,2016-03-24 17:57:00,P,0,2016-03-24 17:57:00,P,0,0,0,7,7,10005,1,1|1
stn13,2016-03-24 18:04:00,P,0,2016-03-24 18:04:00,P,0,0,0,7,7,10005,1,1|1
stn14,2016-03-24 18:11:00,P,0,2016-03-24 18:11:00,P,0,0,0,5,5,10005,1,1|1
stn15,2016-03-24 18:16:00,P,0,2016-03-24 18:16:00,P,0,0,0,6,6,10005,1,1|1
stn16,2016-03-24 18:22:00,P,0,2016-03-24 18:22:00,P,0,0,0,3,3,10005,1,1|1
stn17,2016-03-24 18:25:00,P,0,2016-03-24 18:25:00,P,0,0,0,3,3,10005,1,1|1
stn18,2016-03-24 18:28:00,P,0,2016-03-24 18:28:00,P,0,0,0,3,3,10005,1,1|1
stn19,2016-03-24 18:31:00,P,0,2016-03-24 18:31:00,P,0,0,0,4,4,10005,1,1|1
stn20,2016-03-24 18:35:00,P,0,2016-03-24 18:35:00,P,0,0,0,4,4,10005,1,1|1
stn21,2016-03-24 18:39:00,P,0,2016-03-24 18:39:00,P,0,0,0,8,8,10005,1,1|1
stn22,2016-03-24 18:47:00,P,0,2016-03-24 18:55:00,P,0,3,3,8,8,10005,1,1|1
stn23,2016-03-24 19:03:00,P,0,2016-03-24 19:03:00,P,0,0,0,4,4,10005,1,1|1
stn24,2016-03-24 19:07:00,P,0,2016-03-24 19:07:00,P,0,0,0,3,3,10005,1,1|1
stn25,2016-03-24 19:10:00,P,0,2016-03-24 19:10:00,P,0,0,0,5,5,10005,1,1|1
stn26,2016-03-24 19:15:00,P,0,2016-03-24 19:15:00,P,0,0,0,5,5,10005,1,1|1
stn27,2016-03-24 19:20:00,P,0,2016-03-24 19:20:00,P,0,0,0,5,5,10005,1,1|1
stn28,2016-03-24 19:25:00,P,0,2016-03-24 19:25:00,P,0,0,0,5,5,10005,1,1|1
stn29,2016-03-24 19:30:00,P,0,2016-03-24 19:30:00,P,0,0,0,4,4,10005,1,1|1
stn30,2016-03-24 19:34:00,P,0,2016-03-24 19:34:00,P,0,0,0,6,6,10005,1,1|1
stn31,2016-03-24 19:40:00,P,0,2016-03-24 19:43:00,P,0,2,2,7,7,10005,1,1|1
stn32,2016-03-24 19:50:00,P,0,2016-03-24 19:50:00,P,0,0,0,5,5,10005,1,1|1
stn33,2016-03-24 19:55:00,P,0,2016-03-24 19:55:00,P,0,0,0,7,7,10005,1,1|1
stn34,2016-03-24 20:02:00,P,0,2016-03-24 20:02:00,P,0,0,0,5,5,10005,1,1|1
stn35,2016-03-24 20:07:00,P,0,2016-03-24 20:07:00,P,0,0,0,4,4,10005,1,1|1
stn36,2016-03-24 20:11:00,P,0,2016-03-24 20:11:00,P,0,0,0,8,8,10005,1,1|1
stn37,2016-03-24 20:19:00,P,0,2016-03-24 20:19:00,P,0,0,0,5,5,10005,1,1|1
stn38,2016-03-24 20:24:00,P,0,2016-03-24 20:24:00,P,0,0,0,6,6,10005,1,1|1
stn39,2016-03-24 20:30:00,P,0,2016-03-24 20:30:00,P,0,0,0,6,6,10005,1,1|1
stn40,2016-03-24 20:36:00,P,0,2016-03-24 20:36:00,P,0,0,0,6,6,10005,1,1|1
stn41,2016-03-24 20:42:00,P,0,2016-03-24 20:42:00,P,0,0,0,7,7,10005,1,1|1
stn42,2016-03-24 20:49:00,P,0,2016-03-24 20:55:00,P,0,5,5,7,7,10005,1,1|1
stn43,2016-03-24 21:02:00,P,0,2016-03-24 21:26:00,P,0,6,6,9,9,10005,1,1|1
stn44,2016-03-24 21:35:00,P,0,2016-03-24 21:46:00,P,0,10,10,12,12,10005,1,1|1
stn45,2016-03-24 21:58:00,P,0,2016-03-24 21:58:00,P,0,0,0,5,5,10005,1,1|1
stn46,2016-03-24 22:03:00,P,0,2016-03-24 22:03:00,P,0,0,0,4,4,10005,1,1|1
stn47,2016-03-24 22:07:00,P,0,2016-03-24 22:07:00,P,0,0,0,5,5,10005,1,1|1
stn48,2016-03-24 22:12:00,P,0,2016-03-24 22:12:00,P,0,0,0,4,4,10005,1,1|1
stn49,2016-03-24 22:16:00,P,0,2016-03-24 22:16:00,P,0,0,0,3,3,10005,1,1|1
stn50,2016-03-24 22:19:00,P,0,2016-03-24 22:19:00,P,0,0,0,4,4,10005,1,1|1
stn51,2016-03-24 22:23:00,P,0,2016-03-24 22:23:00,P,0,0,0,8,8,10005,1,1|1
stn52,2016-03-24 22:31:00,P,0,2016-03-24 22:41:00,P,0,2,2,0,0,10005,1,1|1
stn01,2016-03-26 16:44:00,P,0,2016-03-26 16:54:00,P,0,10,10,10,10,10006,1,1|1
stn02,2016-03-26 17:04:00,P,0,2016-03-26 17:04:00,P,0,0,0,6,6,10006,1,1|1
stn03,2016-03-26 17:10:00,P,0,2016-03-26 17:10:00,P,0,0,0,4,4,10006,1,1|1
stn04,2016-03-26 17:14:00,P,0,2016-03-26 17:14:00,P,0,0,0,3,3,10006,1,1|1
stn05,2016-03-26 17:17:00,P,0,2016-03-26 17:17:00,P,0,0,0,3,3,10006,1,1|1
stn06,2016-03-26 17:20:00,P,0,2016-03-26 17:20:00,P,0,0,0,5,5,10006,1,1|1
stn07,2016-03-26 17:25:00,P,0,2016-03-26 17:25:00,P,0,0,0,4,4,10006,1,1|1
stn08,2016-03-26 17:29:00,P,0,2016-03-26 17:29:00,P,0,0,0,3,3,10006,1,1|1
stn09,2016-03-26 17:32:00,P,0,2016-03-26 17:32:00,P,0,0,0,5,5,10006,1,1|1
stn10,2016-03-26 17:37:00,P,0,2016-03-26 17:37:00,P,0,0,0,5,5,10006,1,1|1
stn11,2016-03-26 17:42:00,P,0,2016-03-26 17:42:00,P,0,0,0,5,5,10006,1,1|1
stn12,2016-03-26 17:47:00,P,0,2016-03-26 17:47:00,P,0,0,0,7,7,10006,1,1|1
stn13,2016-03-26 17:54:00,P,0,2016-03-26 17:54:00,P,0,0,0,7,7,10006,1,1|1
stn14,2016-03-26 18:01:00,P,0,2016-03-26 18:01:00,P,0,0,0,5,5,10006,1,1|1
stn15,2016-03-26 18:06:00,P,0,2016-03-26 18:06:00,P,0,0,0,6,6,10006,1,1|1
stn16,2016-03-26 18:12:00,P,0,2016-03-26 18:12:00,P,0,0,0,3,3,10006,1,1|1
