Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
Echo,2017-03-01 00:38:00,P,0,2017-03-01 00:43:00,P,0,5,5,10,10,10001,1,1|1
Delta,2017-03-01 00:53:00,P,0,2017-03-01 00:58:00,P,0,5,5,10,10,10001,1,1|1
Charlie,2017-03-01 01:08:00,P,0,2017-03-01 01:13:00,P,0,5,5,10,10,10001,1,1|1
Bravo,2017-03-01 01:23:00,P,0,2017-03-01 01:28:00,P,0,5,5,10,10,10001,1,1|1
Alpha,2017-03-01 01:38:00,P,0,2017-03-01 01:43:00,P,0,5,5,0,0,10001,1,1|1
Alpha,2017-03-01 00:35:00,P,0,2017-03-01 00:40:00,P,0,5,5,10,10,10002,1,1|1
Bravo,2017-03-01 00:50:00,P,0,2017-03-01 00:55:00,P,0,5,5,10,10,10002,1,1|1
Charlie,2017-03-01 01:05:00,P,0,2017-03-01 01:10:00,P,0,5,5,10,10,10002,1,1|1
Delta,2017-03-01 01:20:00,P,0,2017-03-01 01:25:00,P,0,5,5,10,10,10002,1,1|1
Echo,2017-03-01 01:35:00,P,0,2017-03-01 01:40:00,P,0,5,5,0,0,10002,1,1|1
Echo,2017-03-01 00:15:00,P,0,2017-03-01 00:20:00,P,0,5,5,10,10,10003,1,1|1
Delta,2017-03-01 00:30:00,P,0,2017-03-01 00:35:00,P,0,5,5,10,10,10003,1,1|1
Charlie,2017-03-01 00:45:00,P,0,2017-03-01 00:50:00,P,0,5,5,10,10,10003,1,1|1
Bravo,2017-03-01 01:00:00,P,0,2017-03-01 01:05:00,P,0,5,5,10,10,10003,1,1|1
Alpha,2017-03-01 01:15:00,P,0,2017-03-01 01:20:00,P,0,5,5,0,0,10003,1,1|1
Alpha,2017-03-01 00:00:00,P,0,2017-03-01 00:05:00,P,0,5,5,10,10,10004,1,1|1
Bravo,2017-03-01 00:15:00,P,0,2017-03-01 00:20:00,P,0,5,5,10,10,10004,1,1|1
Charlie,2017-03-01 00:30:00,P,0,2017-03-01 00:35:00,P,0,5,5,10,10,10004,1,1|1
Delta,2017-03-01 00:45:00,P,0,2017-03-01 00:50:00,P,0,5,5,10,10,10004,1,1|1
Echo,2017-03-01 01:00:00,P,0,2017-03-01 01:05:00,P,0,5,5,0,0,10004,1,1|1
Echo,2017-03-01 00:49:00,P,0,2017-03-01 00:54:00,P,0,5,5,10,10,10005,1,1|1
Delta,2017-03-01 01:04:00,P,0,2017-03-01 01:09:00,P,0,5,5,10,10,10005,1,1|1
Charlie,2017-03-01 01:19:00,P,0,2017-03-01 01:24:00,P,0,5,5,10,10,10005,1,1|1
Bravo,2017-03-01 01:34:00,P,0,2017-03-01 01:39:00,P,0,5,5,10,10,10005,1,1|1
Alpha,2017-03-01 01:49:00,P,0,2017-03-01 01:54:00,P,0,5,5,0,0,10005,1,1|1
Alpha,2017-03-01 00:06:00,P,0,2017-03-01 00:11:00,P,0,5,5,10,10,10006,1,1|1
Bravo,2017-03-01 00:21:00,P,0,2017-03-01 00:26:00,P,0,5,5,10,10,10006,1,1|1
Charlie,2017-03-01 00:36:00,P,0,2017-03-01 00:41:00,P,0,5,5,10,10,10006,1,1|1
Delta,2017-03-01 00:51:00,P,0,2017-03-01 00:56:00,P,0,5,5,10,10,10006,1,1|1
Echo,2017-03-01 01:06:00,P,0,2017-03-01 01:11:00,P,0,5,5,0,0,10006,1,1|1
Echo,2017-03-01 00:16:00,P,0,2017-03-01 00:21:00,P,0,5,5,10,10,10007,1,1|1
Delta,2017-03-01 00:31:00,P,0,2017-03-01 00:36:00,P,0,5,5,10,10,10007,1,1|1
Charlie,2017-03-01 00:46:00,P,0,2017-03-01 00:51:00,P,0,5,5,10,10,10007,1,1|1
Bravo,2017-03-01 01:01:00,P,0,2017-03-01 01:06:00,P,0,5,5,10,10,10007,1,1|1
Alpha,2017-03-01 01:16:00,P,0,2017-03-01 01:21:00,P,0,5,5,0,0,10007,1,1|1
Alpha,2017-03-01 00:04:00,P,0,2017-03-01 00:09:00,P,0,5,5,10,10,10008,1,1|1
Bravo,2017-03-01 00:19:00,P,0,2017-03-01 00:24:00,P,0,5,5,10,10,10008,1,1|1
Charlie,2017-03-01 00:34:00,P,0,2017-03-01 00:39:00,P,0,5,5,10,10,10008,1,1|1
Delta,2017-03-01 00:49:00,P,0,2017-03-01 00:54:00,P,0,5,5,10,10,10008,1,1|1
Echo,2017-03-01 01:04:00,P,0,2017-03-01 01:09:00,P,0,5,5,0,0,10008,1,1|1
