Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
I,2023-06-11 00:15:40,P,0,2023-06-11 00:20:40,P,0,5,4,5,4,10001,1,1|1
G,2023-06-11 00:25:40,P,0,2023-06-11 00:31:40,P,0,6,4,5,4,10001,1,1|1
F,2023-06-11 00:35:40,P,0,2023-06-11 00:41:40,P,0,6,4,4,4,10001,1,1|1
D,2023-06-11 00:48:40,P,0,2023-06-11 00:59:40,P,0,11,4,7,4,10001,1,1|1
E,2023-06-11 01:03:40,P,0,2023-06-11 01:10:40,P,0,7,4,4,4,10001,1,1|1
P,2023-06-11 01:15:40,P,0,2023-06-11 01:27:40,P,0,12,4,5,4,10001,1,1|1
J,2023-06-11 01:31:40,P,0,2023-06-11 01:40:40,P,0,9,4,4,4,10001,1,1|1
K,2023-06-11 01:47:40,P,0,2023-06-11 01:56:40,P,0,9,4,7,4,10001,1,1|1
Q,2023-06-11 02:03:40,P,0,2023-06-11 02:13:40,P,0,10,4,7,4,10001,1,1|1
N,2023-06-11 02:20:40,P,0,2023-06-11 02:28:40,P,0,8,4,7,4,10001,1,1|1
M,2023-06-11 02:34:40,P,0,2023-06-11 02:40:40,P,0,6,4,6,4,10001,1,1|1
L,2023-06-11 02:47:40,P,0,2023-06-11 02:55:40,P,0,8,4,7,4,10001,1,1|1
A,2023-06-11 03:02:40,P,0,2023-06-11 03:12:40,P,0,10,4,7,4,10001,1,1|1
A,2023-06-11 00:15:40,P,0,2023-06-11 00:20:40,P,0,5,4,5,4,10002,1,1|1
L,2023-06-11 00:27:40,P,0,2023-06-11 00:35:40,P,0,8,4,7,4,10002,1,1|1
M,2023-06-11 00:41:40,P,0,2023-06-11 00:52:40,P,0,11,4,6,4,10002,1,1|1
N,2023-06-11 00:56:40,P,0,2023-06-11 01:06:40,P,0,10,4,4,4,10002,1,1|1
Q,2023-06-11 01:11:40,P,0,2023-06-11 01:22:40,P,0,11,4,5,4,10002,1,1|1
K,2023-06-11 01:29:40,P,0,2023-06-11 01:37:40,P,0,8,4,7,4,10002,1,1|1
J,2023-06-11 01:42:40,P,0,2023-06-11 01:48:40,P,0,6,4,5,4,10002,1,1|1
P,2023-06-11 01:55:40,P,0,2023-06-11 02:04:40,P,0,9,4,7,4,10002,1,1|1
S,2023-06-11 02:11:40,P,0,2023-06-11 02:20:40,P,0,9,4,7,4,10002,1,1|1
T,2023-06-11 02:27:40,P,0,2023-06-11 02:35:40,P,0,8,4,7,4,10002,1,1|1
Z,2023-06-11 02:39:40,P,0,2023-06-11 02:45:40,P,0,6,4,4,4,10002,1,1|1
I,2023-06-11 02:52:40,P,0,2023-06-11 03:02:40,P,0,10,4,7,4,10002,1,1|1
T,2023-06-11 00:15:40,P,0,2023-06-11 00:20:40,P,0,5,4,5,4,10003,1,1|1
P,2023-06-11 00:27:40,P,0,2023-06-11 00:35:40,P,0,8,4,7,4,10003,1,1|1
J,2023-06-11 00:40:40,P,0,2023-06-11 00:46:40,P,0,6,4,5,4,10003,1,1|1
K,2023-06-11 00:51:40,P,0,2023-06-11 00:57:40,P,0,6,4,5,4,10003,1,1|1
Q,2023-06-11 01:01:40,P,0,2023-06-11 01:12:40,P,0,11,4,4,4,10003,1,1|1
N,2023-06-11 01:16:40,P,0,2023-06-11 01:22:40,P,0,6,4,4,4,10003,1,1|1
M,2023-06-11 01:26:40,P,0,2023-06-11 01:35:40,P,0,9,4,4,4,10003,1,1|1
L,2023-06-11 01:42:40,P,0,2023-06-11 01:53:40,P,0,11,4,7,4,10003,1,1|1
