Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
stn01,2016-03-25 15:05:00,P,0,2016-03-25 15:15:00,P,0,10,10,5,5,30001,1,1|1
stn02,2016-03-25 15:20:00,P,0,2016-03-25 15:20:00,P,0,0,0,15,15,30001,1,1|1
stn03,2016-03-25 15:35:00,P,0,2016-03-25 15:35:00,P,0,0,0,0,0,30001,1,1|1
stn03,2016-03-24 23:52:00,P,0,2016-03-24 23:52:00,P,0,0,0,3,3,20001,1,1|1
stn02,2016-03-24 23:55:00,P,0,2016-03-24 23:55:00,P,0,0,0,15,15,20001,1,1|1
stn01,2016-03-25 00:10:00,P,0,2016-03-25 00:20:00,P,0,10,10,0,0,20001,1,1|1
stn03,2016-03-25 23:52:00,P,0,2016-03-25 23:52:00,P,0,0,0,3,3,20002,1,1|1
stn02,2016-03-25 23:55:00,P,0,2016-03-25 23:55:00,P,0,0,0,15,15,20002,1,1|1
stn01,2016-03-26 00:10:00,P,0,2016-03-26 00:20:00,P,0,10,10,0,0,20002,1,1|1
stn01,2016-03-25 02:15:00,P,0,2016-03-25 02:25:00,P,0,10,10,10,3,20003,1,1|1
stn02,2016-03-25 02:35:00,P,0,2016-03-25 02:35:00,P,0,0,0,5,1,20003,1,1|1
stn03,2016-03-25 02:40:00,P,0,2016-03-25 02:40:00,P,0,0,0,0,0,20003,1,1|1
stn01,2016-03-25 16:05:00,P,0,2016-03-25 16:10:00,P,0,5,5,12,12,20004,1,1|1
stn02,2016-03-25 16:22:00,P,0,2016-03-25 16:22:00,P,0,0,0,3,3,20004,1,1|1
stn03,2016-03-25 16:25:00,P,0,2016-03-25 16:25:00,P,0,0,0,0,0,20004,1,1|1
stn03,2016-03-25 01:00:00,P,0,2016-03-25 01:00:00,P,0,0,0,2,2,20005,1,1|1
stn02,2016-03-25 01:02:00,P,0,2016-03-25 01:02:00,P,0,0,0,18,18,20005,1,1|1
stn01,2016-03-25 01:20:00,P,0,2016-03-25 01:30:00,P,0,10,10,0,0,20005,1,1|1
stn03,2016-03-25 10:03:00,P,0,2016-03-25 10:05:00,P,0,2,2,5,5,20006,1,1|1
stn02,2016-03-25 10:10:00,P,0,2016-03-25 10:10:00,P,0,0,0,15,15,20006,1,1|1
stn01,2016-03-25 10:25:00,P,0,2016-03-25 10:35:00,P,0,10,10,0,0,20006,1,1|1
stn01,2016-03-25 18:15:00,P,0,2016-03-25 18:30:00,P,0,15,15,10,10,20007,1,1|1
stn02,2016-03-25 18:40:00,P,0,2016-03-25 18:40:00,P,0,0,0,8,8,20007,1,1|1
stn03,2016-03-25 18:48:00,P,0,2016-03-25 18:50:00,P,0,2,2,0,0,20007,1,1|1
stn01,2016-03-25 13:35:00,P,0,2016-03-25 13:45:00,P,0,10,10,5,5,20008,1,1|1
stn02,2016-03-25 13:50:00,P,0,2016-03-25 13:50:00,P,0,0,0,10,10,20008,1,1|1
stn03,2016-03-25 14:00:00,P,0,2016-03-25 14:02:00,P,0,2,2,0,0,20008,1,1|1
stn03,2016-03-25 18:10:00,P,0,2016-03-25 18:12:00,P,0,2,2,8,8,20009,1,1|1
stn02,2016-03-25 18:20:00,P,0,2016-03-25 18:20:00,P,0,0,0,10,5,20009,1,1|1
