Station1,Station2,Capc
stn01,stn02,1
stn02,stn03,1
stn03,stn04,1
stn04,stn05,1
stn05,stn06,1
stn06,stn07,1
stn07,stn08,1
stn08,stn09,1
stn09,stn10,1
stn10,stn11,1
stn11,stn12,1
stn12,stn13,1
stn13,stn14,1
stn14,stn15,1
stn15,stn16,1
stn16,stn17,1
stn17,stn18,1
stn18,stn19,1
stn19,stn20,1
stn20,stn21,1
stn21,stn22,1
stn22,stn23,1
stn23,stn24,1
stn24,stn25,1
stn25,stn26,1
stn26,stn27,1
stn27,stn28,1
stn28,stn29,1
stn29,stn30,1
stn30,stn31,1
stn31,stn32,1
stn32,stn33,1
stn33,stn34,1
stn34,stn35,1
stn35,stn36,1
stn36,stn37,1
stn37,stn38,1
stn38,stn39,1
stn39,stn40,1
stn40,stn41,1
stn41,stn42,1
stn42,stn43,1
stn43,stn44,1
stn44,stn45,1
stn45,stn46,1
stn46,stn47,1
stn47,stn48,1
stn48,stn49,1
stn49,stn50,1
stn50,stn51,1
stn51,stn52,1
stn52,stn53,1
stn53,stn54,1
stn54,stn55,1
stn55,stn56,1
stn56,stn57,1
stn57,stn58,1
stn58,stn59,1
