Station,TTArrTime,ArrFlag,Loop,TTDepTime,DepFlag,Secn,TTHaltTime,MinHaltTime,TTRunTime,MinRunTime,TrainID,Priority,SubNetwork
stn59,2016-04-16 20:29:00,P,0,2016-04-16 20:29:00,P,0,0,0,4,4,10001,1,1|1
stn58,2016-04-16 20:33:00,P,0,2016-04-16 20:33:00,P,0,0,0,10,9,10001,1,1|1
stn57,2016-04-16 20:43:00,P,0,2016-04-16 20:43:00,P,0,0,0,8,7,10001,1,1|1
stn56,2016-04-16 20:51:00,P,0,2016-04-16 20:51:00,P,0,0,0,9,9,10001,1,1|1
stn55,2016-04-16 21:00:00,P,0,2016-04-16 21:00:00,P,0,0,0,17,17,10001,1,1|1
stn54,2016-04-16 21:17:00,P,0,2016-04-16 21:18:00,P,0,1,1,14,17,10001,1,1|1
stn53,2016-04-16 21:32:00,P,0,2016-04-16 21:32:00,P,0,0,0,13,16,10001,1,1|1
stn52,2016-04-16 21:45:00,P,0,2016-04-16 21:45:00,P,0,0,0,12,14,10001,1,1|1
stn51,2016-04-16 21:57:00,P,0,2016-04-16 21:57:00,P,0,0,0,12,14,10001,1,1|1
stn50,2016-04-16 22:09:00,P,0,2016-04-16 22:09:00,P,0,0,0,11,14,10001,1,1|1
stn49,2016-04-16 22:20:00,P,0,2016-04-16 22:20:00,P,0,0,0,7,8,10001,1,1|1
stn48,2016-04-16 22:27:00,P,0,2016-04-16 22:27:00,P,0,0,0,12,15,10001,1,1|1
stn47,2016-04-16 22:39:00,P,0,2016-04-16 22:39:00,P,0,0,0,7,9,10001,1,1|1
stn46,2016-04-16 22:46:00,P,0,2016-04-16 22:46:00,P,0,0,0,15,19,10001,1,1|1
stn45,2016-04-16 23:01:00,P,0,2016-04-16 23:01:00,P,0,0,0,12,14,10001,1,1|1
stn44,2016-04-16 23:13:00,P,0,2016-04-16 23:13:00,P,0,0,0,16,20,10001,1,1|1
stn43,2016-04-16 23:29:00,P,0,2016-04-16 23:29:00,P,0,0,0,7,8,10001,1,1|1
stn42,2016-04-16 23:36:00,P,0,2016-04-16 23:36:00,P,0,0,0,12,15,10001,1,1|1
stn41,2016-04-16 23:48:00,P,0,2016-04-16 23:48:00,P,0,0,0,12,14,10001,1,1|1
stn40,2016-04-17 00:00:00,P,0,2016-04-17 00:00:00,P,0,0,0,6,8,10001,1,1|1
stn39,2016-04-17 00:06:00,P,0,2016-04-17 00:06:00,P,0,0,0,9,8,10001,1,1|1
stn38,2016-04-17 00:15:00,P,0,2016-04-17 00:15:00,P,0,0,0,8,10,10001,1,1|1
stn37,2016-04-17 00:23:00,P,0,2016-04-17 00:23:00,P,0,0,0,14,17,10001,1,1|1
stn36,2016-04-17 00:37:00,P,0,2016-04-17 00:37:00,P,0,0,0,15,17,10001,1,1|1
stn35,2016-04-17 00:52:00,P,0,2016-04-17 01:02:00,P,0,10,10,7,8,10001,1,1|1
stn34,2016-04-17 01:09:00,P,0,2016-04-17 01:09:00,P,0,0,0,5,5,10001,1,1|1
stn33,2016-04-17 01:14:00,P,0,2016-04-17 01:14:00,P,0,0,0,18,17,10001,1,1|1
stn32,2016-04-17 01:32:00,P,0,2016-04-17 01:32:00,P,0,0,0,19,18,10001,1,1|1
stn31,2016-04-17 01:51:00,P,0,2016-04-17 01:51:00,P,0,0,0,12,11,10001,1,1|1
stn30,2016-04-17 02:03:00,P,0,2016-04-17 02:03:00,P,0,0,0,12,12,10001,1,1|1
stn29,2016-04-17 02:15:00,P,0,2016-04-17 02:15:00,P,0,0,0,9,10,10001,1,1|1
stn28,2016-04-17 02:24:00,P,0,2016-04-17 02:24:00,P,0,0,0,11,11,10001,1,1|1
stn27,2016-04-17 02:35:00,P,0,2016-04-17 02:35:00,P,0,0,0,12,10,10001,1,1|1
stn26,2016-04-17 02:47:00,P,0,2016-04-17 02:47:00,P,0,0,0,11,11,10001,1,1|1
stn25,2016-04-17 02:58:00,P,0,2016-04-17 02:58:00,P,0,0,0,20,18,10001,1,1|1
stn24,2016-04-17 03:18:00,P,0,2016-04-17 03:18:00,P,0,0,0,17,16,10001,1,1|1
stn23,2016-04-17 03:35:00,P,0,2016-04-17 03:35:00,P,0,0,0,17,16,10001,1,1|1
stn22,2016-04-17 03:52:00,P,0,2016-04-17 03:52:00,P,0,0,0,18,17,10001,1,1|1
stn21,2016-04-17 04:10:00,P,0,2016-04-17 04:10:00,P,0,0,0,18,17,10001,1,1|1
stn20,2016-04-17 04:28:00,P,0,2016-04-17 04:28:00,P,0,0,0,18,16,10001,1,1|1
stn19,2016-04-17 04:46:00,P,0,2016-04-17 04:46:00,P,0,0,0,17,17,10001,1,1|1
stn18,2016-04-17 05:03:00,P,0,2016-04-17 05:03:00,P,0,0,0,17,16,10001,1,1|1
stn17,2016-04-17 05:20:00,P,0,2016-04-17 05:20:00,P,0,0,0,7,7,10001,1,1|1
stn16,2016-04-17 05:27:00,P,0,2016-04-17 05:27:00,P,0,0,0,14,13,10001,1,1|1
stn15,2016-04-17 05:41:00,P,0,2016-04-17 05:41:00,P,0,0,0,15,14,10001,1,1|1
stn14,2016-04-17 05:56:00,P,0,2016-04-17 05:56:00,P,0,0,0,23,14,10001,1,1|1
stn13,2016-04-17 06:19:00,P,0,2016-04-17 06:19:00,P,0,0,0,4,10,10001,1,1|1
stn12,2016-04-17 06:23:00,P,0,2016-04-17 06:23:00,P,0,0,0,9,9,10001,1,1|1
stn11,2016-04-17 06:32:00,P,0,2016-04-17 06:32:00,P,0,0,0,11,10,10001,1,1|1
